Code;CodingScheme;Section;Text;SectionFormat;TextFormat;GDTFID;GDTOutputFormat
24;Default;HAND;AP;Hand;AP;6227;%s, %s
25;Default;HAND;KIND;Hand;Kind;6227;%s, %s
26;Default;HAND;SCHRÄG.;Hand;Schräg.;6227;%s, %s
27;Default;HAND;SEITL.;Hand;Seitlich;6227;%s, %s
18;Default;FINGER;AP;Finger;AP;6227;%s, %s
17;Default;FINGER;KIND;Finger;Kind;6227;%s, %s
19;Default;FINGER;SEITL.;Finger;Seitlich;6227;%s, %s
15;Default;ELLENBOGEN;AP;Ellenbogen;AP;6227;%s, %s
14;Default;ELLENBOGEN;KIND;Ellenbogen;Kind;6227;%s, %s
16;Default;ELLENBOGEN;SEITL.;Ellenbogen;Seitlich;6227;%s, %s
20;Default;FUSS;AP;Fuß;AP;6227;%s, %s
21;Default;FUSS;KIND;Fuß;Kind;6227;%s, %s
22;Default;FUSS;SCHRÄG.;Fuß;Schräg.;6227;%s, %s
44;Default;KNIE;AP;Knie;AP;6227;%s, %s
42;Default;KNIE;GEHALTEN;Knie;Gehalten;6227;%s, %s
43;Default;KNIE;KIND;Knie;Kind;6227;%s, %s
45;Default;KNIE;SEITL.;Knie;Seitlich;6227;%s, %s
